Pgroup	Pname
BEER	PIWO DESPERADOS
DAIRY_CHESSE	KARMA CAT
DRINK_JUICE	NAP VOLCANO ORANZADA BEZBARWNA GAZ
SWEETS	LEMONIADA CYTRYNA
DRINK_JUICE	NAP HOOP GAZ POMARANCZ
GENERAL_FOOD	KROKIETY KASZTELAN
DRINK_JUICE	NAP FRUGO POMAR
VEGETABLES	PIECZARKA PACZKA
DAIRY_CHESSE	JOGURT JOVI PITNY
SPICES	PRYMAT GRILL PIKANTNT
DRINK_JUICE	KUBUS MAR BAN JABL
GENERAL_FOOD	ZELATYNA SPOZYWCZA CYKORIA
BEER	PIWO WARKA RADLLER PORZE
CHEMISTRY	TAFT LAKIER
DAIRY_CHESSE	SER BRIE TUREK NATURALNY
CHEMISTRY	PAPIER TOALETOWY MEA BIALY ROLKI
DRINK_JUICE	NAP CAPRIO JABLKO
CIGARETTES	ZAPIEKANKA SZYNKA
CIGARETTES	PAP RGD MINT
CANNED_PATE	PAPRYKARZ SZCZEC AGRICO
GENERAL_FOOD	ZURAWINA OIK
SWEETS	CIASTKA KRAKUSKI FLORIANKI
DAIRY_CHESSE	SERNICZEK WISNIAMI CZARNKOW
CHEMISTRY	DOMESTOS ZIELONY
CIGARETTES	PAP CHESTERFIELD BLU
OCCASIONAL	GOLARKA POLSILWER
PET'S FOOD	KARMA PSA PEDIGREE BISCROK
SWEETS	HERBATNIKI FAMILIJNE MURZYNKI
DAIRY_CHESSE	TWAROG EKS SMIETAN MIEL CZARNKOW
DRINK_JUICE	ZBYSZKO POM CZERWONE GAZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN MAJONEZ
DRINK_JUICE	NAP COCA COLA
CHEMISTRY	BROS PLYN KOMARY DLA DZIECI
DRINK_JUICE	NAP ENERGETYCZNY MAX
SWEETS	CHRUSCIKI CIASTA ROZNE
DAIRY_CHESSE	MAR NIEZBEDNA KOSTKA
DAIRY_CHESSE	SER RYCKI RADAMER CYGANSKI JAGRAMER
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KUBUS WATER CYTRYNOWA
DRINK_JUICE	WODA PRIMAVERA GAZ
SPICES	CUKIER WANILIOWY ZIOLOPEX
GENERAL_FOOD	WIN SOS PIECZARKOWY
TABLETS	VITAFIZZ MAGNEZ
SWEETS	LIZAK PILKA
GENERAL	JOGURT NATURALNY GRECKI
DAIRY_CHESSE	DESER JANA WANILIOWY
SPICES	KNOR ROSOL KURY KOSTEK
DISHES_FOR_CHILDREN	BEBIKO
DRINK_JUICE	NAP MARTON KIWI GAZ
VODKA_ALCOHOL	WHISKY HIGHLANDER
COOKIES_BULK	CUKIERKI KROWKA WAWEL SOLIDARNOSC
DAIRY_CHESSE	SER TOP TYLZYCKI SERTOP
SWEETS	CIASTKA KRAKUSKI SERDUSZKA
BEER	PIWO WOJAK BUTELKA JASNE
SWEETS	GOPL CZEKOLADA GORZKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN SOS TATARSKI
SWEETS	PALUSZKI STAR
VODKA_ALCOHOL	NAP SPIR ABSOLWENT SLIWKA
GENERAL_FOOD	AMINO BLYSK ROSŁ KURY WLOSZCZYZNA
DAIRY_CHESSE	SER TOP TYLZYCKI SERTOP
BEER	PIWO LECH FREE ZWR
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
SWEETS	MILKA CZEKOL WAVES
SWEETS	GOFRY SLODKIE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PRZYPR WARZYWKO
BEER	PIWO DZIKI SAD CZERESNIA
OCCASIONAL	JAJKO BARBIE
CIGARETTES	PAP BLACK
DRINK_JUICE	NAP VOLCANO ORANZADA BEZBARWNA GAZ
CHEMISTRY	CLIN SZYB DOZOWNIKIEM
DAIRY_CHESSE	WIN ZUREK RAZOWY
DAIRY_CHESSE	BATON FITELLA
DAIRY_CHESSE	SER MLEKPOL KROLEWSKI KOLNA PLAS
GENERAL_FOOD	MAKA ZIEMNIACZANA
SWEETS	JAJKO NIESPODZIANKA
DAIRY_CHESSE	MLEKO MULLER SMAKOWE
SWEETS	DROPS HALLS ORGINAL
GENERAL_FOOD	MIOD SZTUCZNY RYDELKIEWIC
GENERAL	BERLISO TRUSKA
OCCASIONAL	TORBA BUTELKA
ICE_CREAMS_FROZEN	LODY KAKTUS
CHEMISTRY	ZAPALKI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KETCHUP PIKANTNY TORTEX
GENERAL	KROKIETY MIESEM GRZESKOWIAK
COFFEE TEA	KAWA NESCAFE CREME
ICE_CREAMS_FROZEN	SZPINAK LISC
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
SWEETS	BOMBONIERKA GALARETKA PORZ JUTRZE
ICE_CREAMS_FROZEN	BARSZCZ UKRAINSKI NORDIS
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN MAJONEZ
MEAT	SPRAYS FUNY
ICE_CREAMS_FROZEN	LODY PINEAAPLLE NESTLE
ART._HYGIENIC	BELLA PODPASKI PERF BLUE
CHIPS_FLAKES	SPRAY XXL CUKIERKI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	DANIE KACHNY FLACZKI ZAMOJSKU
DRINK_JUICE	NAP KINLEY
GENERAL_FOOD	CUKIER TRZCINOWY SANTE
SPICES	KNORR FIX STROGONOFF
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
DRINK_JUICE	NAP ALOE PURE
SOCKS_THIGHTS	PODKOLANOWKI
GENERAL_FOOD	OGORKI MALOSOLNE LUZ
CHEMISTRY	WKLADKI BELLA PANTY
SWEETS	WAWEL CZEKOL MALAGA
CIGARETTES	PAP LINK PSTRYK
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PIWO PERLA EKSPORT BUT BEZZWROTNA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HELLENA ORENZADA CZERWONA
SOCKS_THIGHTS	RAJSTOPY DEN
CHEWING_GUM_LOLIPOPS	ZELKI PAKOWANE
SWEETS	DROPS HALLS BLACKURANT
VODKA_ALCOHOL	NAP SPIR ABSOLWENT SLIWKA
CHIPS_FLAKES	CHRUPKI TRUSKAWKOWE
ICE_CREAMS_FROZEN	PIZZA SERY
GENERAL	BANDAZ
SWEETS	BATON LION BLACK WHITE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WINO CARLO ROSSI CZERW WYTR
COFFEE TEA	JACOBS KRONUNG MIELONA
DRINK_JUICE	NAP TYMBARK JAB WISNIA
DRINK_JUICE	NAP COCA COLA
ICE_CREAMS_FROZEN	LODY KOSTKA SNIEZNA SMIET
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PIWO PERLA CHMIELOWA BUT ZWROT
DAIRY_CHESSE	TWAROG POLTLUSTY SREMSKI
CHIPS_FLAKES	LAYS CHETOS SER KETCHUP
DRINK_JUICE	HELLENA TRUSK MALINA
CIGARETTES	PAP PAL MAL MINT
BEER	PIWO LECH PILS BUTELKA
VEGETABLES	OGOREK ZIELONY
DRINK_JUICE	NAP FRUGO CZARNE WISNIA
CHEMISTRY	NIVEA KREM
DRINK_JUICE	NAP ENERGET ROSKST PUSZKA
ICE_CREAMS_FROZEN	LODY ROZKI MLYNARCZYK
GENERAL_FOOD	KNORR FIX SPAG CARBONARA
GENERAL_FOOD	PRZYPRAWA MIESA MIELONEGO CYKORIA
FISH	FILETY SLEDZIOWE POMIDZ
DRINK_JUICE	WODA KROPLA BESKIDU GAZ
GENERAL	MIESZANKA STUDENCKA POL MLYNY
CIGARETTES	PAP PINK SUPER SLIM
GENERAL	SMAK MAK GALARETKA KURCZAKA
ICE_CREAMS_FROZEN	LODY COFFE LATTE
COFFEE TEA	KAWA NESCAFE CLASSIC
ICE_CREAMS_FROZEN	LODY SOLO POMARANCZOWY
CHEMISTRY	MYDLO BAMBINO
SWEETS	BATON KNOPERS ORZECH
OILS	MAR MLECZNA KRUSZWICA
BREAD	CHLEB KROJONY
ART._HYGIENIC	BELLA PODPASKI NORMAL SKRZYD
DRINK_JUICE	HELLENA ORANZADA ZOLTA GAZ
SWEETS	DELICJE MALINOWE
GENERAL_FOOD	PIWO BOJAN GRUSZKOWE ZWR
COFFEE TEA	JACOBS KAWA UZUPELN
SWEETS	PRINCE POLO XXL CLASSIC
GENERAL_FOOD	KINDER MLECZNA KANAPKA
DAIRY_CHESSE	ALMETTE CZOSNEK NIEDZWIEDZI
DRINK_JUICE	FRUGO CZARNE PET
DRINK_JUICE	NAP AQA GAZ CYTRYNA
COFFEE TEA	LIPTON EXP TOREBEK
DRINK_JUICE	WODA SKARB NATURY GAZ
SWEETS	BOMBONIERA IMPRESJA BARON
COFFEE TEA	KAWA CAFE PREMIUM
WINE_ALCOHOL 18%	WODKA DEBOWA DREWNO SKRZYPCE
CHEMISTRY	PLYTA DVD
SWEETS	CZEK ROSHEN GORZKA
SWEETS	PETITKI LUBISIE CZEK
CIGARETTES	PAP MARLBORO GOLD MIEK
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WINO CARLO ROSSI BIALE WYTR
SWEETS	CHRUPKI KUKURYDZIANE OWOCOWE
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KAMIS MUSZTARDA ROSYJSKA
SWEETS	ZELKI NIMM SMIEJZELKI
BEER	PIWO LECH FREE PUSZKA
GENERAL_FOOD	POMIDORY SLONECZ OGROD
GENERAL_FOOD	MUSZTARDA STOLOWA PEGAZ
SWEETS	WAFLE GORALKI MLECZNY
SOCKS_THIGHTS	RAJSTOPY DEN
COFFEE TEA	HERB RUMIANEK POSTI
DRINK_JUICE	NAP VOLCANO COLA LEPSZY SMAK GAZ
GENERAL	DELECTA MACZEK MANGO
TABLETS	TABLETKI RENNIE ANTACIDUM MOCN MIETA
DRINK_JUICE	NAP LEON JAB GRUSZ MANGO
CHEMISTRY	BREF KULKI
CHEMISTRY	PLYN KAPIELI BURSZTYN EVA
TABLETS	PLASTER ROLKA
DRINK_JUICE	KUBUS MALINA MARCH JAB
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PIWO KARMI BUT CLASSIC
GENERAL_FOOD	WIN KISIEL TRUSKAWKOWY
GENERAL	CZEK ALPEN GOLD MLECZNA
CHEMISTRY	PLYN AJAX KWIATY NIEBIESKI
BEER	PIWO ZUBR BUTELKA
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
SWEETS	BOMBONIERA BARON
COOKIES_BULK	CUKIERKI OWOCOWE ROSHEN
CHEMISTRY	HELP COLOR
GENERAL_FOOD	AMINO BLYSK KWASNICA GŁRALSKU
EGGS	JAJA LIPOWCZYK SZT
CHEMISTRY	PUR BALSAM
GROATS_RICE_PASTA	MAKARON POLSKIE MLYNY PENNE DURUM
DAIRY_CHESSE	SEREK HEJ WANILIA
GROATS_RICE_PASTA	MAKARON CZANIECKI NITKA WALCOWANA
CHIPS_FLAKES	PLATKI PODUSZKI MIKUS
BEER	PIWO ZUBR BUTELKA
TABLETS	PLASTER POLSKI LEK OPATRUNKOWY
CHEMISTRY	PASTA ELMEX JUNIOR
DRINK_JUICE	KUBUS PLAY MAR TRUS LIMETKA
DAIRY_CHESSE	BAKOMA POLSKIE SMAKI WISNIA
CHEMISTRY	PAP FORWARD
CHEMISTRY	SOL ODPLAMIAJACA
CHEMISTRY	SZAMPON RUMIANEK EVA NATURA
GENERAL_FOOD	PLATKI OWSIAN GORSKIE
ICE_CREAMS_FROZEN	SZPINAK SIEKANY
CHEMISTRY	CLIN ZAPAS
DAIRY_CHESSE	SER SMAZONY KOSCIAN
DRINK_JUICE	NAP HORTEX POMIDOROWY
DAIRY_CHESSE	JOGURT PANA COTTA
OCCASIONAL	BATERIA WARTA SZT
WINE_ALCOHOL 18%	WINO MOGEN CZERW CONCORD
DRINK_JUICE	SCHWEPPES COLA
VEGETABLES	NAP MARTON GAZ GRUSZKA
DAIRY_CHESSE	WIN ZUREK RAZOWY
SWEETS	BATON MILKY WAY
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
SWEETS	CIASTKA PALUSZKI POMAR
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
CIGARETTES	ZAPALKI
DAIRY_CHESSE	SMIETANA ZOOT
SPICES	WIN ZIARENKA SMAKU
MEAT	PAROWKOWA DROBIEM
CIGARETTES	PAP BLACK
CIGARETTES	WODA
WINE_ALCOHOL 18%	SZAMPAN DORATO ROZOWE SLODKIE
DRINK_JUICE	FRUGO CZARNE PET
GENERAL	CWIKLA CHRZANEM SLON OGROD
VEGETABLES	ZIEMNIAKI
SWEETS	BATON MACIEK XXL TOFFI WAWEL
WINE_ALCOHOL 18%	SZAMPAN SOWIETSKOJE IGRIST
GROATS_RICE_PASTA	RYZ SONKO
BEER	PIWO REDDS RED ZURAWIN BEZW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP COCA COLA PET
SOCKS_THIGHTS	RAJSTOPY DZIECIECE
CHEMISTRY	ZAPALNICZKA SPARK
OCCASIONAL	MAZAKI SZT
SWEETS	BUBLE GUM ROLL
CHEMISTRY	MYDLO SZARE
SWEETS	CIASTKA MINIS CHOCO POLEWANE
DAIRY_CHESSE	JOGURT NATURALNY ZOTT
BREAD	CHLEB RUSTYKALNY
DAIRY_CHESSE	JOGOBELLA KOKTAIL PINA COLADA
GENERAL_FOOD	OGORKI MALOSOLNE LUZ
CIGARETTES	PAP ROTHMANS MINT LINK
CHIPS_FLAKES	LAYS ZIELONA CEBULA KARBOW
DAIRY_CHESSE	HOCHL PIECZARKA TOP BLOK
SPICES	PROSZEK PIECZENIA
SWEETS	GRZESKI MEGA CZEKOLADZIE
CIGARETTES	PAP BLU
SPICES	KNORR PRZYPRAWA KURCZAKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	CIASTKA JEZYKI DARK COCOA
SWEETS	CZEK AMELIA MLECZNA
SWEETS	LIZAK CHOINKA
SWEETS	GOPL CUKIERKI MIETA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KAWA ROZP NESCAFE CLASSIC
CIGARETTES	ZAPALKI
VEGETABLES	KOPER ZIELONY OGURKOW
BREAD	CIASTKA KRUCHPLACEK DROZDZOWY
SPICES	SMIETAN FIX
DRINK_JUICE	STAR CHIPS SER ZIEMNIAKI
BEER	PIWO GOZDZILLA BEZW
VEGETABLES	OGOREK ZIELONY
DRINK_JUICE	WODA CISOWIANKA LEKKI GAZ
GENERAL_FOOD	JOGOBELA
CHIPS_FLAKES	CATERING SANDWICH POMID
GENERAL	JAB PRAZONE
VEGETABLES	BOCZNIAK
DAIRY_CHESSE	SER WIEDENSKI RICOTTA
DRINK_JUICE	HELLENA ORANZADA BIALA GAZ
BEER	PIWO SAMERSBY PUSZKA
GENERAL_FOOD	AMINO YSK PIECZARKOWA
ICE_CREAMS_FROZEN	LODY ROLADA PARADISO TRUSKAWKA
BEER	PIWO LECH SHANDY BUT
DRINK_JUICE	SYROP WISNIA SPI HERBAPOL
ICE_CREAMS_FROZEN	LODY SWIDER KORAL
CHEMISTRY	KRET TABLATKACH
GROATS_RICE_PASTA	MAKARON POL MLYN SPAGHETTI
DRINK_JUICE	WODA CISOWIANKA GAZOWANA
GENERAL_FOOD	WAFLE FAMILIJNE
VODKA_ALCOHOL	NAP SPIRY SOPLICA JAB
FISH	FILETY SLEDZIOWE OPIEKANE
GENERAL_FOOD	PUDL GOLABKI POMID
CHEWING_GUM_LOLIPOPS	GUMA ORBIT BAG PEPPERMINT
SWEETS	CIASTKA KRAKUSKI FLORIANKI
GROATS_RICE_PASTA	MAK ABAK ZACIERKA BABUNI
CHIPS_FLAKES	STAR CHIPS ORZECH
CIGARETTES	PAP PAL MAL PSTRYK LINK
DRINK_JUICE	KUBUS PLAY MAR TRUS LIMETKA
GENERAL	WIN ZUPA OGONOWA
GENERAL	MLEKO MLECZ ZAGRODA BUT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	FASOLA CZERWONA SLONECZNY OGROD
VODKA_ALCOHOL	WODKA KRUPNIK PREMIUM
CHEMISTRY	CLIN ZAPAS
ICE_CREAMS_FROZEN	ZAPIEKANKA SZYN PIECZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KNORR FIX KEBAB SOS
GROATS_RICE_PASTA	MAKA TORTOWA STOISLAW
SWEETS	CIASTKA KRAKUSKI SERDUSZKA
VODKA_ALCOHOL	NAP SPIR BARMANSKA ARBUZ
ICE_CREAMS_FROZEN	WODA AQA GAZ
ICE_CREAMS_FROZEN	WODA AQA SPORT
CHEMISTRY	BAMBINO OLIWKA DLA DZIECI
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
CHEMISTRY	TORBA OKOLICZNOSCIOWA
DAIRY_CHESSE	DANIO CZEK ORZECH
CIGARETTES	PAP ROTHMANS BLU
DRINK_JUICE	NAP TYMBARK JAB MIETA
CHEWING_GUM_LOLIPOPS	TORTILLA WRAPS
OILS	PRYMAT CZOSNEK GRANULOWANY
ARTICLE_OF_HOUSEHOLD	BIBULA KOLOR
BEER	PIWO OKOCIM PILS ZWROTNA
GROATS_RICE_PASTA	MAKARON GOLIARD NITKA
DAIRY_CHESSE	BAKOMA GRECKI
CANNED_PATE	FASOLA BIALA DAWTONA
BEER	PIWO LOMZA BUT BEZW
GENERAL_FOOD	WIN SOS PIECZARKOWY
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
WINE_ALCOHOL 18%	WINO SOPHIA RED ODKIE
DAIRY_CHESSE	GOS MLEKO ZAGESZCZ GOSTYN
GENERAL_FOOD	SLONECZNIK PRAZONY SOLONY
DRINK_JUICE	WODA KOKOSOWA MANGO
VEGETABLES	RZODKIEWKA PECZEK
GENERAL	SOK CZARNEGO BZU
TABLETS	TABLETKI IBUM SZT
CHEMISTRY	PODPASKI BELLA PERFECTA ORANGE
CANNED_PATE	KONSERWA TYROLSKA LAUR
MEAT	KRAKOWSKA SUCHA
CHEMISTRY	PUR BALSAAM
DRINK_JUICE	WODA KROPLA BESKIDU GAZ
BREAD	BULKA GRAHAMKA ALPEJSKA
DAIRY_CHESSE	ALMETTE SER POMIDOR
DAIRY_CHESSE	SER EDEN GOUDA MORSKI EDEK
SWEETS	JAJKO NIESPODZ BARBIE MAXCO
BEER	PIWO LECH FREE PUSZKA
DRINK_JUICE	ZBYSZKO POM CZERWONE GAZ
EGGS	JAJA LIPOWCZYK SZT
GENERAL_FOOD	CYKORIA BUDYN CZEKOLADOWY CUKRU
VEGETABLES	PIECZARKI
DAIRY_CHESSE	HOCHL SALAMI
ICE_CREAMS_FROZEN	MARCHEW KOSTKA NORDIS
GENERAL_FOOD	ZELATYNA PRZYPR CYKORIA
CIGARETTES	TYMBARK ASP
DAIRY_CHESSE	TWAROG SMIETANKOWY RAWICZ
GROATS_RICE_PASTA	MAKARON ABAK BABUNI JAJ
GENERAL_FOOD	SMAK MAK SMALEC CZOSNKIEM
VODKA_ALCOHOL	WODKA KRUPNIK PREMIUM
GROATS_RICE_PASTA	KASZA GRYCZANA SARITA
DRINK_JUICE	WODA PRIMAVERA GAZ
FISH	FILETY MAKRELI POMID
MEAT	KIELBASA POGORZELSKA PODSUSZANA
COFFEE TEA	HERB RUMIANEK POSTI
GENERAL	PIEROGI RUSKIE
BREAD	BABKA KEKS
GENERAL_FOOD	ALMETTE RZODKIEWKA
VEGETABLES	BROKUL
DAIRY_CHESSE	SERKI WEDZONE
MEAT	SZYNKA OPSKU
GENERAL	KASZKA MANNA SARITA
GENERAL_FOOD	AMINO YSK PIECZARKOWA
VEGETABLES	SUROWKA KUBEK
BREAD	CHLEB MAZOWIECKI
GENERAL	WAFLE RYZOWE CZEK DESEROWEJ
GENERAL_FOOD	POWIDLA SLIWKA SLON OGROD
MEAT	KIE BASA MYSLIWSKA
DAIRY_CHESSE	JOGURT ACTIVIA DRINK JAG BOR
CIGARETTES	PAP BLUE
BEER	PIWO DZIKI SAD BUTELKA
CANNED_PATE	KOPYTKA TACKA GRZESKOWIAK
CHEWING_GUM_LOLIPOPS	LIZAK KOLOROWY
GENERAL	PECZAK KUJAWSKI
GENERAL_FOOD	WIN POMYSL RYBE SOS KOPERKOWY
DRINK_JUICE	NAP TYMBARK JAB
VEGETABLES	SKORUPKA BURACZKI
DRINK_JUICE	NAP ENER MAX PUSZKA STRONG
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	AROMAT CIAST POMARAN DELECTA
ICE_CREAMS_FROZEN	LODY BIG MILK FRUIT
ICE_CREAMS_FROZEN	KALAFIOR MROZONY
SPICES	MARCO POLO ZILA KURCZAKA SOLA MOR
ICE_CREAMS_FROZEN	BARSZCZ UKRAINSKI
DAIRY_CHESSE	JOGOBELA PICIA
DAIRY_CHESSE	GOS MLEKO ZAGESZCZ SLODZONE
CHEMISTRY	PLASTRY FAMILI
ART._HYGIENIC	BELLA PODPASKI PERF BLUE
GENERAL_FOOD	VEGETA
CHEMISTRY	ZNICZ KWIAT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN MAJONEZ
CHEMISTRY	MYDLO SZARE ATTIS
CIGARETTES	PAP BLUE CIENKIE
OILS	MASLO ROSLINNE KRUSZ
DAIRY_CHESSE	BAKOMA BAKUS KIESZONKI WANIL
BEER	PIWO KSIAZECE ZWROT CZERWONY
CIGARETTES	TRUSKAWKI MROZONE
GENERAL_FOOD	KNORR FIX SPAGH SERY
DRINK_JUICE	NAP SPRITE
DAIRY_CHESSE	SER SMAZONY SREM
DAIRY_CHESSE	FANTASIA KULKI CZEKOL
CHEMISTRY	EWA SZAMOPN BRZOZA
BEER	PIWO LWOWEK PORTER ZWR
SWEETS	PIERNIK KROLEWSKI KRAKUS
DRINK_JUICE	ZBYSZKO MAXER GAZ CITRO
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WODA ZYWIEC JAB
SWEETS	GRZESKI GOFROWE CZEKOLADA
DRINK_JUICE	NAP JURAJSKA ORANZADA BIALA
DAIRY_CHESSE	HOCHL SMIETANKOW TOPIONY
GROATS_RICE_PASTA	RYZ SARITA BIALY DLUGOZIAR KAR
VODKA_ALCOHOL	NAP SPIR KRAKOWSKA SLIWKA
BEER	PIWO KOZEL CERNY
CHEMISTRY	CLIN ZAPAS
CHIPS_FLAKES	LAYS FROMAGE
DAIRY_CHESSE	HOCH SER PLASTRY EDAMSKI
CHEWING_GUM_LOLIPOPS	GUMA ARBUZ
VEGETABLES	KAPUSTA BIALA
DRINK_JUICE	ORANZADA BUT ZWROTNEJ
ICE_CREAMS_FROZEN	LODY ROZKI CYTRYNA
GENERAL	PIZZA KEBAB
CIGARETTES	PAP PAL MAL PSTRYK LINK
BEER	PIWO LECH PREMIUM PUSZKA
CIGARETTES	PAP ROTMANSY RED
MEAT	PAROWKA HOT DOG
TABLETS	ASPIRYN ULTRA SZT
GENERAL_FOOD	WIN SOS PIECZENIOWY JASNY
DAIRY_CHESSE	SMIETANA SREM
DAIRY_CHESSE	SEREK MALINAMI
GENERAL	CYKORIA BUDYN MALINOWY CUKRU
ICE_CREAMS_FROZEN	LODY ROZEK SERNIKOWY
CIGARETTES	PAP LINK PINK
DAIRY_CHESSE	HOCHL SER TOP GOUDA BLOK
FISH	FILET MINTAJA KOSTKA
MEAT	KIE BASA KRUCHA WEDZARNI
CIGARETTES	PAP CAMEL
DRINK_JUICE	NAP TYMBARK JABLKO MIETA
BEER	PIWO CNOTY BEZW
SWEETS	ZAJAC ROOL
DRINK_JUICE	WODA ZYWIEC GAZ
COFFEE TEA	LIPTON HERB ZIELONA CITRUS
DRINK_JUICE	PEPSI COLA
DRINK_JUICE	NAP COCA COLA ZERO
SWEETS	MILKA CARAMEL
SWEETS	ZELKI WAWEL KWASNE
CHEMISTRY	ZESZYT KRATKA
GROATS_RICE_PASTA	MAK LUBELLA SWIDER
FISH	SLEDZ POMIDORACH EVRA
CHEMISTRY	BELLA PODPASKI MAX GREEN
SWEETS	BABKA KOWOLKA
DRINK_JUICE	WODA NESTI
DRINK_JUICE	NAP TYMBARK KAKTUS
SPICES	GALEO SODA OCZYSZCZONA
GROATS_RICE_PASTA	MAKARON SARITA SWIDEREK
SWEETS	WAFLE GORALKI ARACHID
DAIRY_CHESSE	DANONKI MEGA TRUSKAWKA BANAN
WINE_ALCOHOL 18%	WINO FRESCO CZER SLOD
CHEMISTRY	BREF KULKI BLUE TURK
DRINK_JUICE	KUBUS WATER TRUSKAWKA
CHEMISTRY	PLYN PLUKANIA SATYNA
MEAT	FRANKFUTERKI
SWEETS	CHRUPKI OWOCAMI MAX
BEER	PIWO OKOCIM RADLER ZWR OWCE LES
BEER	PIWO ZWR
OILS	OLEJ LNIANY
DAIRY_CHESSE	BAKOMA SATINA WANILIA
ICE_CREAMS_FROZEN	WODA AQA GAZ
DAIRY_CHESSE	DANIO CZEKOLADA
GENERAL_FOOD	WIN PAPIRUS PAPRYKA
BEER	PIWO NAMYS BEZW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KONCENTRAT SLOIK
BREAD	CHLEB TOSTOWY SNIAD MASLANY
BEER	PIWO CAPTAIN JACK ALK
DAIRY_CHESSE	SER KIELBASKA MLEKOVITA SZYNKA
GENERAL	KRAKUS BARSZCZ CZERW KONC
DAIRY_CHESSE	HOCH TWAR KANAPKOWY SMIETANA
COFFEE TEA	HERB RUMIANEK POSTI
DRINK_JUICE	NAP CAPRIO POMARANCZ
BEER	PIWO BOJAN SLIWKOWE BUTELKA
DAIRY_CHESSE	GOS MLEKO ZAG NIESL GOSTYN
GENERAL_FOOD	POWIDLA SLIWKA SLON OGROD
DRINK_JUICE	NAP VERONI LIFE POMAR GAZ
DAIRY_CHESSE	MLEKO ZAG
GENERAL	KUBUS WOTER DZIUB
CHIPS_FLAKES	STAR CHIPS SER POMIDOR
DRINK_JUICE	NAP TYMBARK POLSKI OGROD
DAIRY_CHESSE	DANONE GRATKA
CIGARETTES	PAP RGD LINK BLU
DAIRY_CHESSE	JOGURT TWIST POZIOM
COOKIES_BULK	CUKIERKI KROWKA WAWEL SOLIDARNOSC
GENERAL	SMAK MAK FLAKI WOLOWE
DAIRY_CHESSE	JOGURT DUET
BEER	PIWO CNOTY BEZW
CHEWING_GUM_LOLIPOPS	ZABAWKA UFO CUKIERKAMI
DAIRY_CHESSE	JOGURT KOSCIAN NATURALNY
COOKIES_BULK	CUKIERKI VALENTINO SZT
GENERAL_FOOD	SUCHARY DELIKATESOWE MAMU
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN ZUPA JAK MAMY PIECZARKOWA
GENERAL_FOOD	GELLWE ZELATYNA
SWEETS	AMELIA PIANKA CYTRYNA
VODKA_ALCOHOL	NAP SPIR KRAKOWSKA SLIWKA
CHEMISTRY	ZMYWAK SZT
GENERAL_FOOD	KAKAO PUCHATEK WITAM
DAIRY_CHESSE	JOGOBELA MUSLI
CANNED_PATE	PIEROGI KAPUS GRZYB GRZESKOWIAK
GENERAL	CEBULKA MARYNOWANA OLE
GENERAL	ZUPA WARZYW
DRINK_JUICE	KUBUS PLAY JAB MAL LICZI
ICE_CREAMS_FROZEN	LODY ROZEK KAKTUS
COOKIES_BULK	CUKIERKI TOFFIX MIX IGLO
SWEETS	CIASTECZKA MINIS CHOCO
CIGARETTES	PAP WEST
ART._HYGIENIC	PLYN ZATLUSZCZONYCH POWIERZCHNI
CHEMISTRY	KRET TABLATKACH
DAIRY_CHESSE	SER GRILA LUB PATELNIE
COFFEE TEA	PRIMA NIEBIESKA
CHIPS_FLAKES	STAR CHIPS KEBAB
BEER	PIWO WEST COOST BEZW
FISH	FILETY SLEDZ SMIETANIE MARINUS
